pmid,source
11602245,UniProtKB
11602603,UniProtKB
11606576,GlyTouCan_glycan
11676606,UniCarbKB
11676606,UniCarbKB_glycan
11676606,UniProtKB
11683872,UniProtKB
11696006,GlyTouCan_glycan
11696579,GlyTouCan_glycan
11703926,UniProtKB
11706042,UniProtKB
11709191,GlyTouCan_glycan
11724906,GlyTouCan_glycan
11726493,UniProtKB
11733580,UniProtKB
11738084,UniCarbKB
11738084,UniCarbKB_glycan
11741940,UniProtKB
11772019,UniProtKB
11805077,UniCarbKB
11805077,UniCarbKB_glycan
1182122,GlyTouCan_glycan
11875281,GlyTouCan_glycan
11878808,GlyTouCan_glycan
11882908,GlyTouCan_glycan
11884456,GlyTouCan_glycan
11903928,GlyTouCan_glycan
11904304,GlyTouCan_glycan
11912203,UniProtKB
11919403,GlyTouCan_glycan
11953431,UniProtKB
11956197,GlyTouCan_glycan
11959983,GlyTouCan_glycan
11980704,UniProtKB
11983428,UniProtKB
12017332,GlyTouCan_glycan
12022871,UniProtKB
12031100,GlyTouCan_glycan
12032138,GlyTouCan_glycan
12034704,UniProtKB
12034737,UniProtKB
12038976,UniCarbKB
12038976,UniCarbKB_glycan
12063277,UniProtKB
12084983,GlyTouCan_glycan
12096136,UniProtKB
12106326,GlyTouCan_glycan
12110528,GlyTouCan_glycan
12110702,GlyTouCan_glycan
12122212,UniProtKB
12135495,GlyTouCan_glycan
12135947,GlyTouCan_glycan
12144777,UniProtKB
12146959,GlyTouCan_glycan
12149231,GlyTouCan_glycan
12150998,GlyTouCan_glycan
12151713,UniCarbKB
12151713,UniCarbKB_glycan
12154198,UniProtKB
12163379,GlyTouCan_glycan
12169660,UniProtKB
12171601,UniProtKB
12183547,GlyTouCan_glycan
12200435,UniProtKB
12213450,GlyTouCan_glycan
12213787,GlyTouCan_glycan
12214108,UniProtKB
12220542,GlyTouCan_glycan
12297049,UniProtKB
12297050,UniProtKB
12350324,GlyTouCan_glycan
12354382,GlyTouCan_glycan
12358771,GlyTouCan_glycan
12370246,UniProtKB
12383500,GlyTouCan_glycan
12385579,GlyTouCan_glycan
12390975,GlyTouCan_glycan
12391027,UniProtKB
12393027,GlyTouCan_glycan
12397027,GlyTouCan_glycan
12408961,UniProtKB
12421832,UniProtKB
12438562,GlyTouCan_glycan
12438562,UniProtKB
12460925,GlyTouCan_glycan
12464311,GlyTouCan_glycan
12473106,GlyTouCan_glycan
12483204,UniProtKB
12510058,GlyTouCan_glycan
12511570,GlyTouCan_glycan
12517764,GlyTouCan_glycan
12525165,UniProtKB
12526797,UniProtKB
12527193,UniProtKB
12547345,GlyTouCan_glycan
12556292,GlyTouCan_glycan
12575940,UniProtKB
12588874,GlyTouCan_glycan
12590919,UniProtKB
12600216,UniProtKB
12603841,UniProtKB
12604466,UniProtKB
12610629,UniProtKB
12618343,GlyTouCan_glycan
