glytoucan,test
G89865VY,GlyConnect
G90093AU,GlyConnect
G90335NR,GlyConnect
G91116OD,GlyConnect
G91255CS,GlyConnect
G91473PK,GlyConnect
G92081HT,GlyConnect
G92654OJ,GlyConnect
G93180LE,GlyConnect
G93656SY,GlyConnect
G93683YO,GlyConnect
G94309NZ,GlyConnect
G94831VI,GlyConnect
G95133RI,GlyConnect
G95389BC,GlyConnect
G95977AE,GlyConnect
G96416FQ,GlyConnect
G97968CT,GlyConnect
G98472XA,GlyConnect
G99198RV,GlyConnect
G99966GV,GlyConnect
